Ingredient,Amount,Type,Calories,Fat (g),Sodium (mg),Carb (g),Fiber (g),Added Sugar (g),Protein (g),Calcium (mg),Potassium (mg),Caffeine (mg),Iron (mg),Cost ($)
Garlic Powder,1,g,0,0,0,0,0,0,0,0,0,0,0.00,$0.00
"Granola (Chocolate Coffee, Trader Joe's)",58,g,260,8,80,42,5,15,5,20,240,0,0.00,$0.68
Grape Tomato,100,g,22,0.2,5,4,1,0,1,10,237,0,0.30,$0.00
Greek Yogurt (0% Fat - Trader Joe's),170,g,96,0,75,7,0,0,17,190,240,0,0.00,$0.00
"Greek Yogurt (Drinkable, Pillars)",1,pc,112,0,70,8,3,0,20,260,329,0,0.00,$0.00
Greek Yogurt (Whole Milk - Chobani),170,g,169,9,60,7,0,0,15,170,230,0,0.00,$1.38
Green Beans,100,g,36,0.1,6,7,3.4,0,1.8,30,150,0,0.70,$0.72
Honey,100,g,364,0,0,90,0,0,1,0,0,0,0.00,$2.42
Husks (Whole Psyllium),2,tbsp,32,0,10,8,7,0,0,0,97,0,0.00,$0.00
JOI - Cashew Milk Concentrate,16,g,95,7,2,5,0,0,3,0,0,0,0.96,$0.00
Jam (any),20,g,52,0,0,13,1,12,0,0,0,0,0.00,$0.00
"Ketchup (Organic, Trader Joe's)",17,g,20,0,150,5,0,3,0,0,0,0,0.00,$0.00
Lime Juice,100,g,32,0,0,8,0,0,0,0,0,0,0.00,$0.00
"Mango Chutney (Sri Lankan Organic, Trader Joe's)",1,tbsp,56,0,125,14,0,7,0,0,0,0,0.00,$0.00
"Milk (2%, Clover Sonoma)",240,ml,137,5,140,13,0,0,10,350,460,0,0.00,$0.44
Mixed Vegetables,100,g,0,0,0,0,5,0,0,0,0,0,0.00,$0.00
Nespresso,1,pc,0,0,0,0,0,0,0,0,0,65,0.00,$0.99
Oats,40,g,151,2.5,0,27,4,0,5,0,140,0,1.70,$0.18
Olive oil,1,tbsp,126,14,0,0,0,0,0,0,0,0,0.00,$0.20
Onion Powder,1,g,0,0,0,0,0,0,0,0,0,0,0.00,$0.00
"Onion, Yellow",100,g,43,0.1,4,9.3,1.7,0,1.1,0,260,0,0.00,$0.00
Panko Breadcrumbs,100,g,374,2,166,78,4,7,11,0,0,0,0.00,$0.00
"Pasta, Casarecce (Durum Wheat Semolina - Whole Foods) - Dry",56,g,201,1,0,42,2,0,6,0,120,0,0.00,$0.00
"Pasta, Fusilli, Whole Wheat (De Cecco)",56,g,206,2,0,39,4,1,8,27,168,0,0.00,$0.37
"Pasta, Spaghetti (dry weight)",56,g,205,1,0,43,0,0,6,0,120,0,0.00,$0.00
"Peanut butter with Honey (organic, Justin's)",32,g,205,17,90,6,1,4,7,0,90,0,0.00,$0.00
"Pistachio Nutmeats (Unroasted & Unsalted, Trader Joe's)",30,g,182,14,0,8,3,0,6,30,310,0,1.20,$0.00
"Pita Bread (Turlock, Whole Foods)",1,pc,185,0.5,210,39,1,0,6,2,56,0,2.00,$0.00
"Potato, Yellow (Dry)",100,g,88,0,0,20,1.5,0,2,7,350,0,0.37,$0.00
"Potatoes, Mashed (Whole Foods Hot Bar - Estimation)",100,g,93,0.1,150,21,2,0,2,12,460,0,0.00,$0.00
"Potatoes, Yellow Fingerling (Southwind Farms)",148,g,114,0,25,26,2.5,0,2.5,10,400,0,0.00,$0.00
Protein Bar (Think! Any Flavor),1,pc,257,9,230,24,0,0,20,90,110,0,0.00,$0.00
"Protein Powder, Grass Fed (Levels)",1,pc,131,2.5,125,3,0,0,24,100,160,0,0.00,$0.00
Raspberries (Driscoll's),10,pc,11,0.1,0,2.3,1.2,0,0.2,0,29,0,0.00,$0.00
"Rice, Brown Jasmine (Cooked - Trader Joe's)",170,g,166,1.5,0,34,2,0,4,0,100,0,1.10,$0.13
"Rice, Brown Jasmine (Dry - Trader Joe's)",45,g,166,1.5,0,34,2,0,4,0,100,0,1.10,$0.13
"Rice, White Jasmine (Dry - Trader Joe's)",45,g,152,0,0,35,0.5,0,3,0,30,0,0.00,$0.00
"Salmon, Atlantic (Skin On - Trader Joe's)",113,g,227,15,65,0,0,0,23,10,410,0,0.00,$0.00
"Seasoning, Salt for Life (Nature's Alternative Salt)",1,tsp,0,0,560,0,0,0,0,0,1880,0,0.00,$0.00
"Seasoning, Umami Multi-Purpose (Trader Joe's)",0.25,tsp,0,0,140,0,0,0,0,0,0,0,0.00,$0.00
Sriracha (Trader Joe's),1,tsp,4,0,75,1,0,1,0,0,10,0,0.00,$0.00
Strawberries (fresh),100,g,28,0.22,0.72,6,1.4,0,0.48,11.52,110,0,0.00,$0.00
Sweet Chili Sauce (Trader Joe's),1,tbsp,20,0,125,5,3,5,0,2,5,0,0.00,$0.00
Sweet Potato,100,g,94,0.2,36,21,3.3,0,2,38,475,0,0.00,$0.66
"Tomato Paste (Organic, Trader Joe's)",1,pc,152,0,125,35,10,20,3,0,290,0,0.00,$0.99
Tomato Sauce (Muir Glen),1,pc,196,0,140,42,7,0,7,0,1120,0,0.00,$3.69
"Tortillas (Mini, Flour, Trader Joe's)",1,pc,46,1.5,70,7,0,0,1,0,30,0,0.10,$0.00
"Turkey (Sliced, Honey Roasted)",85,g,105,1,380,4,0,999,20,0,0,0,0.88,$0.00
"Turkey Meatballs (Whole Foods, Frozen)",4,pc,155,7,370,6,1,999,17,20,0,0,0.00,$0.00
"Walnuts (Organic, Unroasted & Unsalted, Trader Joe's)",28,g,194,18,0,4,2,0,4,30,120,0,0.00,$0.00
